order_id,order_amount,carbon_amount,order_time,is_anomalous
1,17405.024183713987,45.38537359124973,2021-12-21,False
2,23459.26185273431,46.21725676953188,2020-02-20,False
3,18510.604649302637,56.500301782556996,2024-05-17,False
4,32005.232539973418,29.708053967466324,2022-02-25,False
5,21926.57622141391,33.11747504730076,2020-12-05,False
6,24722.047384003643,60.041108560006485,2023-03-16,False
7,29087.33563349186,47.56551221173975,2023-06-01,False
8,31523.013516736624,24.014204432057532,2021-08-13,False
9,36016.54907628879,35.8488373136342,2021-07-30,False
10,28942.25002503321,46.41691974622914,2022-11-22,False
11,25032.980010557967,34.44434239585546,2022-08-24,False
12,49860.75083625954,111.54429337029033,2020-08-08,True
13,22686.853617035547,56.976492833493076,2021-04-09,False
14,21377.555693083952,65.70807596502175,2022-02-16,False
15,19684.640223162325,43.82646019695274,2022-02-20,False
16,17244.325493131804,44.858824059974964,2021-10-19,False
17,17766.214468357673,61.64075622208248,2022-05-03,False
18,28811.638884673717,55.7226876768152,2025-02-20,False
19,27777.1142637148,48.21311748859054,2022-10-16,False
20,18934.59168737955,62.34333644416692,2023-06-15,False
21,40016.94287239515,87.86795244980232,2022-08-30,True
22,31626.489171110898,46.32999455115852,2023-07-27,False
23,25811.999532597947,38.75091438481461,2024-06-27,False
24,11822.784571484315,51.14056291341433,2020-03-29,False
25,27655.75410154277,48.50374863599047,2021-01-03,False
26,20458.293741460075,52.25563637158044,2022-05-15,False
27,15820.91683598777,44.80128721909129,2022-08-16,False
28,21433.445498598943,52.867957055182856,2021-12-29,False
29,24282.883917705356,50.78837759668136,2020-11-22,False
30,55860.26727396404,82.3382055739652,2020-11-02,True
31,35214.724305675154,43.94935155337394,2021-12-19,False
32,25501.49765738642,45.88407146608097,2024-01-06,False
33,17768.55159739524,54.79213679087778,2024-11-22,False
34,26586.2790283828,39.818338112769936,2022-06-02,False
35,16265.201673777687,59.80011585819454,2021-04-24,False
36,56617.99900256644,105.67706660171717,2020-01-17,True
37,28622.14088117706,39.83062569669818,2024-07-23,False
38,31231.64905537472,33.64045547364174,2023-10-24,False
39,24489.484705542804,45.791175095049795,2023-04-09,False
40,20835.34892302416,62.62647636026811,2023-04-20,False
41,31279.228366120988,59.15963534457503,2021-11-19,False
42,27303.944241307006,58.01009576752731,2023-02-26,False
43,27195.85212216163,33.408800433205116,2023-05-30,False
44,25688.139318540423,32.13454927263007,2022-01-04,False
45,19444.17350550007,48.56073094943919,2023-11-18,False
46,31731.0638305631,44.80886658633878,2024-03-21,False
47,26620.78810559827,56.981307889163084,2021-10-24,False
48,28690.393758433074,44.72086962156059,2021-08-09,False
49,27270.78952595928,44.23132899802995,2024-04-12,False
50,24905.0274237358,58.94276911710163,2023-08-14,False
51,31558.01014861961,37.38643314193195,2023-12-26,False
52,22429.36410927027,67.74897398028094,2020-12-13,False
53,24893.635751844526,40.28393754538509,2022-11-09,False
54,23471.839726071597,75.32531770283299,2020-07-25,False
55,26421.3237922673,64.04232623637652,2024-01-27,False
56,30327.1236179879,53.31511715152582,2024-05-24,False
57,29685.069684097416,53.10190734744165,2024-10-04,False
58,56153.845171708046,110.57346567337169,2022-06-01,True
59,21695.82882094927,51.828361590454364,2022-06-22,False
60,39726.2314496755,74.33387009629314,2020-06-27,False
61,30507.076170827364,46.733714498847085,2023-10-13,False
62,25907.305317403192,61.811930588989455,2022-05-22,False
63,24860.15292756509,72.6830392074045,2021-01-31,False
64,29340.8963652661,64.57020808285401,2021-11-12,False
65,22123.070383495437,46.881164774932444,2023-08-24,False
66,17537.259918772317,27.078253438303822,2022-03-09,False
67,48035.889968763426,80.39207140480666,2022-12-29,True
68,27967.942431711137,36.956447186099,2020-02-13,False
69,22050.553603169086,53.29428897328479,2022-05-17,False
70,29928.10456668299,42.67283839576625,2024-07-01,False
71,28987.55153439062,59.992441027632715,2022-12-25,False
72,24562.2322677328,36.90115699662768,2021-09-07,False
73,20979.311559196558,66.27365105064857,2021-05-09,False
74,23810.04336346997,54.39403027982596,2025-01-21,False
75,29217.7514561106,39.257424823271094,2025-02-05,False
76,25157.08736733275,60.28456915554759,2024-08-14,False
77,22736.510372042834,58.12885791501514,2024-03-04,False
78,26654.133416242832,33.385124082655246,2025-04-01,False
79,16194.248064009402,44.79955231668964,2020-03-17,False
80,23052.982192373118,60.15446797416939,2021-11-04,False
81,19828.604224516108,53.071144266175175,2021-06-23,False
82,23968.779525129008,43.95925747378901,2022-12-24,False
83,33776.55535316652,50.122086819813845,2022-05-27,False
84,20873.54019584568,46.70583159302459,2020-07-18,False
85,32866.91287830552,45.00033036806736,2024-12-02,False
86,27249.544444156138,41.976751244653094,2020-07-20,False
87,14827.612743754486,27.33387742873679,2024-11-08,False
88,20550.77614529429,63.23178426797999,2022-10-25,False
89,28957.490563779895,48.60893508975877,2025-02-28,False
90,25485.203136222444,45.64009374861739,2020-03-16,False
91,43720.29131693716,98.81427987749571,2020-08-04,True
92,21722.088043460004,57.31852305599266,2025-03-09,False
93,28893.87153988891,60.30386807249995,2021-04-04,False
94,26635.85276438895,47.05546696206712,2023-02-17,False
95,59604.26493096027,113.0307629176214,2024-06-28,True
96,23827.337037409598,45.189302028068646,2020-11-07,False
97,22068.57475223924,49.42414495074444,2020-07-03,False
98,23321.616310481244,48.35611352862776,2021-07-09,False
99,31609.868387609233,59.39159562222336,2024-02-20,False
100,29502.68366490324,63.856647309751665,2024-08-19,False
101,26103.39176854791,50.98362711928469,2023-10-09,False
102,25374.25906107809,57.16321913948708,2023-03-25,False
103,18028.511248977913,62.16759767333812,2020-09-02,False
104,30471.52241301949,49.7733491799584,2024-02-25,False
105,26823.976342541762,77.86570379541602,2022-06-24,False
106,27422.95113842456,59.7630015269886,2020-03-06,False
107,30554.555723672165,53.07159053529206,2021-10-08,False
108,27730.829001456692,43.42423193312215,2020-12-18,False
109,18656.244961993583,47.80651563591511,2020-12-25,False
110,29141.687338908956,48.23464136300737,2025-04-01,False
111,29393.274250901894,54.83630408986225,2023-06-28,False
112,48715.43625010017,102.96245159753478,2023-11-27,True
113,27460.193332312905,61.389260791746636,2022-04-01,False
114,12269.974676892652,34.32046912757765,2024-04-18,False
115,27737.5183899332,57.34280493166527,2024-12-23,False
116,23393.811500898344,38.09769772430159,2020-02-05,False
117,51791.53156549018,91.74742083576318,2020-02-25,True
118,26859.084054973613,54.465303239331874,2024-09-11,False
119,31992.48216401663,37.18300290250451,2022-10-23,False
120,30595.04254244204,48.74905812010893,2021-08-03,False
121,26180.86154698901,57.14343261406947,2022-02-14,False
122,28214.313809047424,49.87518468002408,2025-04-28,False
123,28542.34289000962,48.163415838899056,2020-11-08,False
124,22843.209315640343,51.170996404289184,2024-05-08,False
125,59348.88296216695,115.6376427136545,2021-03-05,True
126,30063.44231332854,28.721061702593147,2020-09-20,False
127,32714.03386884841,52.939484342094325,2022-10-18,False
128,30510.976593856,43.14310164707135,2020-07-24,False
129,23347.234063165557,43.646009688074955,2022-05-03,False
130,27310.263174496737,53.34530977165916,2024-08-16,False
131,16303.721770412392,52.92304854554042,2021-08-03,False
132,44248.41731764851,107.71496929177006,2021-02-02,True
133,25840.357194886303,56.72407518621405,2024-06-22,False
134,31825.29160756112,53.6101506345107,2023-02-08,False
135,23121.77689469346,44.092217220953536,2025-03-11,False
136,52736.25439414606,108.96925682246555,2022-12-07,True
137,29028.576423883413,58.320241293546204,2022-09-25,False
138,23989.775715305535,32.31026344757734,2020-02-27,False
139,26460.84414103663,45.586266253032605,2021-08-28,False
140,23466.5589223975,41.789237977362006,2022-04-04,False
