record_date,carbon_emission,GDP,renewable_energy,carbon_price,carbon_trade_vol
2020-01-01,-32.5050850473895,1005645207.5645162,2021.2600483932767,28.04557769716158,2842.575396176417
2020-01-02,10.489825859614653,1004617240.1428965,1995.8839658241357,28.04981524942793,2807.243340597205
2020-01-03,-66.39683479346101,1017622258.4081497,2044.895018470293,28.143964143251836,2861.1615033484445
2020-01-04,1.7165980254696382,1031965525.5913208,2021.904702957553,28.472979774632325,2944.6623721757314
2020-01-05,95.95334376876856,1018513886.795917,1959.552225727605,28.340957343030432,2830.960913868722
2020-01-06,52.020596077204665,1024130565.5935707,1984.0828226113108,28.33529744057285,2830.4544117164205
2020-01-07,83.11727219926127,1048508023.6321868,1988.670273984227,28.787245743272244,2980.4631928270346
2020-01-08,20.48228451215887,1045223995.2654918,2014.8913727308998,28.598765930076496,2914.384633570358
2020-01-09,59.22167419935362,1038287949.9756677,1985.5614723798749,28.48214186181203,2831.756303640039
2020-01-10,-35.331839259627756,1054996869.5366461,2045.9396900689699,28.592255868478823,2900.916066553198
2020-01-11,-31.201889491922344,1049229587.41362,2036.2303795369405,28.46748264025994,2830.758643338548
2020-01-12,-136.06286868306137,1054457068.8042003,2091.7594935588504,28.36915122765598,2820.936759426972
2020-01-13,60.202690232035586,1067253202.4981894,2001.9316918715656,28.859235955518407,2910.6134671535797
2020-01-14,77.96189145896085,1049623814.1419067,1974.2218550040259,28.53603516669646,2754.50324521888
2020-01-15,-26.65009740962588,1057683318.0179541,2031.2847121030024,28.474331048182165,2759.4132918473383
2020-01-16,-11.82370775641743,1075688170.003327,2037.961881045374,28.77721800866965,2855.9955717332823
2020-01-17,-36.70776597612677,1076448614.1021812,2048.5634862848337,28.71374261723845,2823.756351525682
2020-01-18,20.035264405332995,1095582325.767265,2035.440017299481,29.111044998034536,2940.4253163052153
2020-01-19,57.12528160003285,1088396894.9620976,2006.8644654720654,28.99417157961071,2857.448657105663
2020-01-20,-86.25669208231284,1088036429.329195,2077.2176959948624,28.741384764573883,2803.5283850063956
2020-01-21,21.560391199538742,1125804423.5381956,2053.4882877225978,29.510209016381648,3049.1121556779826
